strat_name,year,stock,reason
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 4, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 4, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 4, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 4, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2006,Ambuja Cements,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 4, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 10, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 4, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2015,MRF,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 4, 'sign': 'lte', 'threshold': '80', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 12, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFO CAGR', 'id': 13}, 'period': 6, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 12, 'sign': 'gte', 'threshold': '40', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFO CAGR', 'id': 13}, 'period': 4, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 12, 'sign': 'gte', 'threshold': '40', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFO CAGR', 'id': 13}, 'period': 4, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2011,Sh.Renuka Sugar,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROCE CAGR', 'id': 6}, 'period': 8, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 12, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 8}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROCE CAGR', 'id': 6}, 'period': 8, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 12, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 8}, 'Operator': 'AND'}]}",2007,Jindal Saw,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROCE CAGR', 'id': 6}, 'period': 8, 'sign': 'gte', 'threshold': '30', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 12, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 4}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 8}, 'Operator': 'AND'}]}",2015,MRF,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROCE CAGR', 'id': 6}, 'period': 4, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 12, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 6}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PAT CAGR', 'id': 12}, 'period': 8, 'sign': 'gte', 'threshold': '40', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
